,Reviewer Name,Review Title,Review Paragraph,Star Rating,Review Date
0,Vikas Mehta,Amazing Little phone,"I got my phone delivered from supercomnet in 4 days from Bangalore and just loving my phone. I had a 6s and upgraded to 7 and notice considerable upgrades.1. It has a taptic engine based soft home button so the feedback response is quick and I am happy to get off the 3.5 mm audio jack to fit in this engine.2. Its much faster and night photography is much cleared and crisper, thanks to the 1.8f rear camera which is an upgrade from the 2.2f camera in 6s.3. The audio driver is much better ...READ MORE",5,"Feb, 2017"
1,Avishek Rajak,Did not meet expectations,"The product is too good but I've found some overheating issue. After 2months I've noticed that the battery health of this device is dropped to 85% and the overheating issues are increased than before.After 6.5 months the phone was suddenly starting extremely heating up itselfs and the battery won't last atleast for 1hour, when i put it in the charging the device takes 15-20min. To turn itself power on and it's heated like hell when it have battery power. I'm not able to use this device.READ MORE",1,7 months ago
2,Rama Krishna Raju,Great product,"Excellent product, previously I was using iPhone 5s and faced some issues with battery but this model has good battery backup it nearly lasts about 6hrs with full charge and continues usage of internet, the performance was incredible when compared to iPhone 5s and even after 1 month of usage there is no point of getting struck even while playing games like PUBG , the screen and slim model makes it more easy to handle, the performance speed is so quick,the sound was magnificent and it produce ...READ MORE",5,"Dec, 2018"
3,Hari Krishnaprasad,Super!,Only one problem that i faced was flipkarts packing. The phones box was just covered by flipkarts plastic coverAlthough phone is perfect but the adapter is having heating issue on most times Headset is awesome Battery backup is adjustable but not worth for rough use and gamingKeep charger with you when travellingUpdated to ios 13 which is having some bugs such as overlay of texts sometimes on displayAccording to my personal experience iphone 7 is awesomeREAD MORE,5,"Jan, 2020"
4,Vinay Kumar,Worthless,This phone is my first iPhone and I am very disappointed because after purchasing with this phone time to time face many problems. First of all startup phone after voice problem And biggest problem is network problem. I am facing Network problem facing last 2 months and I am try to resolving problem but apple supporting team response is very poor  they are only communicate with me not to be helpful for my phone problem resolveing. They are only talk not be work for my problem.READ MORE,1,"Oct, 2020"
5,Arunabh Bahuguna,Fabulous!,"Got it at a very low price with discounts and exchange. So I am finding it worth the price paid. Have been using it since past 15months, and I haven’t encountered any issue. I am not a heavy user. So it works well for me.READ MORE",5,"Mar, 2019"
6,Manmeet Singh Kohli,Good,Battery & Heating & Network Problem In This I Phone 7 From First Day.One Little Scratch On Screen.No Satisfactory Response By Flipkart & Apple.Both Are Only One Excuss Sir It's Corona & Lockdown TimeREAD MORE,3,"Apr, 2020"
7,Aftab Hussain,Best in the market!,"One more addition of an i phone for my known, using i phone 6 then xs got this at cheaper price for a known in my family. No problem at all over these 2years of usage.READ MORE",5,"Jun, 2021"
8,WASIM  AKRAM,Best in the market!,"When I came to the phone from Flipkart, Allredi was boxed, I doubt that there will be a problem in this phone but there is nothing like that. My phone is doing a hundred percent working.READ MORE",5,"Apr, 2018"
9,Rojalin Mishra,Worth the money,Its been 3 yrs i hv got this phone. it works fine till nowit didnt cost me yet a extra penny for its service. so overall goodREAD MORE,4,"Jun, 2021"
10,Preeti Kureel,Pretty good,"good I phone 7 rose gold and best camera,best display, best quality,very good productREAD MORE",4,"Nov, 2018"
11,Bhavesh Kothari,Flipkart Rocks!!!!!!!!!!!!!!!,Buying the most awaited phone of the year and that too from flipkart was amazing.Really thankful to flipkart for understanding the customer's egarness. Flipkart Delivered the product on 7/10/16 at 7.10 pm when apple conducted all india launch.This kind of commitment from flipkart towards its customers is highly appreciable.Flipkart is another word for Geniune products.Iphone 7 in first looks is a awesome phone with gr8 camera. Altogether a new home button which is more faster than previ...READ MORE,5,"Oct, 2016"
12,Vikas Mehta,Amazing Little phone,"I got my phone delivered from supercomnet in 4 days from Bangalore and just loving my phone. I had a 6s and upgraded to 7 and notice considerable upgrades.1. It has a taptic engine based soft home button so the feedback response is quick and I am happy to get off the 3.5 mm audio jack to fit in this engine.2. Its much faster and night photography is much cleared and crisper, thanks to the 1.8f rear camera which is an upgrade from the 2.2f camera in 6s.3. The audio driver is much better ...READ MORE",5,"Feb, 2017"
13,Satej Rao,A Worthy Upgrade from IPhone 6 Plus,"Shift to IPhone 7 from IPhone 6 Plus3 features that standout are:1. Loud and Clear Speakers2. Camera quality is top notch, a tough competition to Galaxy S73. Waterproofing Worthy upgrade from IPhone 6 PlusREAD MORE",5,"Oct, 2016"
14,SUDHIR KUMAR BARAL,Feedback on purchases of iPhone7 and Flipkart,iPhone7 is awesome. I'm using the phone since last 2 months it is quite impressive by performance wise and quality too. The Flipkart delivery was good but packing was not that great. Attitudes of delivery guys was not good. Flipkart should have a reason to worry.READ MORE,5,"Apr, 2017"
15,Amit  Sankrani,Awesome piece of art to be used in Earth,"This is a master piece of the inventions from Apple. While you compare the previous versions of Iphone 6 and 6s, this is way ahead in terms of memory, speed and multitasking. The biometric thumb scanner is fast but does not beat the top of end Androids but is the best in Apple's own world. Display is HD Retina and best at 326 ppi as compared to any other. Battery juice is 2 to 3 hrs more and the Camera clarity is the best of all. You get the best of shots like a 21 mp digicam. Overall it is a...READ MORE",5,"Jan, 2017"
16,Aftab Mulla,Apple countinues to outperform with its new masterpiece,"I'm using iPhone from 3GS generation. I have upgraded my iPhones every year since then. People might say its costly, but to be honest it justifies each & every single penny spent on it. It's a craftsmen masterpiece. Though it does not gives alot of features which other flagship phones do in this segment in the market, but honestly think do we really use those features in real time usage. iPhone makes your regular task so easy & simple which is their primary focus (Make user experience as simp...READ MORE",5,"Oct, 2016"
17,Nitish Dhawan,Awesome phone,"GOOD:+ water resistant - this is a huge improvement for me!+increased speed is noticeable w Siri.+the capacity is amazing! I can keep movies, videos, books, photos, music etc without having to store on iCloud or the like (which usually involves a monthly fee).+ decent size (same as iPhone 6S) while remaining portable and although not as big as the 7 Plus, it can still fit in pocket.+Widget feature (swiping to right at home screen) has been improved and now allows editing. You can add or ...READ MORE",5,"Oct, 2016"
18,Saurabh Majumdar,i (for ideal) phone,"It would be presumptuous to not acknowledge that all those who pre-ordered this device, myself included, have done it simply for the allure of the latest iPhone. Even as I say this, I wasnt entirely convinced of the iPhone 7 when I watched the livestream of the Apple Keynote. However, a timely launch in India, less exorbitant pricing and a hefty cashback was what finally swung me in favour of it. While Apple might have not made much headway in design for 3 generations now, I take some solac...READ MORE",5,"Oct, 2016"
19,Nikunj Gupta,Gorgeous black,"iPhone 7 was launched at 7 PM IST on October 7 in India. I received an SMS at 7 PM that the delivery boy is out and I will be getting the product. I received my product at 8 PM, within one hour of the launch. With great excitement I open the packing that said priority. Upon opening I found a flipkart exclusive black box designed for iPhone 7. This packing is elegant and a surprise. Kudos to flipkart for the packing and delivery. Coming to the phone:1) The colour is elegant. Even though the...READ MORE",5,"Oct, 2016"
20,sougata bose,iPhone 7 .... just awesome,Awesome phone in all means. 1. Lookwise elegant and it's 4.7 inch size is very easy to hold and one hand operation2. iCloud back up facility enables user to restore data without any hazard and its recoverable whenever the set is changed to new iPhone 3. The phone is latest in style builtwise 4. Sound quality of the phone is also the best. Use earphone for the better feelings5. Battery back up is also good compare to other iPhones6. Camera is the best in the lot. You can see the differen...READ MORE,5,"Jan, 2017"
21,Gunit Singh Keer,Super!,"Its a very good phone. Some people might say its over priced or it is nothing great, they are not entirely true. The iPhone 7 is a beautiful phone and the features match its reputation. Yes it is expensive but it is justified as Apple is known to make high quality phone. As I am both an iOS and android phone user I can say with experience that iPhone is way better built than any other of its competiton. I have an 4 years old iPhone 5 which works perfectly, same as the day I bought it. I am su...READ MORE",5,"Oct, 2016"
22,Sumit Kumar,The pretty powerhouse in your hand,"Delighted to have my hands on the very first day of iPhone 7 launch in india . As contrary to rumors this new iPhone is a whole new power house as compare to older versions ,6s or 6 . It's really fast and new home button with Taptic Engine gives you a whole new experience. I loved the texture of color black as it gives a whole unified feeling to the form factor . The camera is just amazing and better . There is lot to explore which I might update here in the review . The only thing which I di...READ MORE",5,"Oct, 2016"
23,Singh Saurabh,Amazing ordering experience from Flipkart !,"The phone was as expected piece of beauty. The performance is snappy and the resolution is great. For someone who's coming from iPhone 6s, this may not be a thing of excitement as it looks 90% just as same. However, what has changed is inside of the phone. With better processor, camera, water resistance technology - a lot has changed inside.Coming to the delivery experience. I ordered this phone within one hour when the pre orders started on flipkart. I was kept well informed about the prog...READ MORE",5,"Oct, 2016"
24,Gowtham Singh,Awesome phone!!!,Upgraded from iPhone 5S to 7 and it's amazing. Fastest mobile available in market and does not even get heated up when using it continuously. Battery back up is amazing as it withstands 8 to 10 hours with continuous 4G network usage. Best ever mobile.Product delivery got delayed by 1 day but still would like to give 5 rating as the customer service was excellent.Thanks Flipkart..READ MORE,5,"Jan, 2017"
25,Jeetendra Nath  Panda,Terrific,Thanks to Flipkart for delivering the product very early. The product is really worth for the amount spent on it. It is perfectly fitting in hand and very comfortable to use. The camera is also good and genuine one. Battery is also average and not that bad as we expect it to be. Really enjoying using it.READ MORE,5,"Oct, 2018"
26,SANCHIT NAGVENKAR,"IF U DON'T HAVE AN IPHONE, WELL U DON'T AN IPHONE.","The most awaited phone of the year. Being the iPhone 5S user for over 2 years, I just love the iPhone for its sturdy built and fabulous design. I've used all types of phone and operating system but this IOS is just awesome, the only phone which never lags or get hanged or restarts in between that's the best thing of apple's products. Got the phone delivered on 30/11/2016, which on time so no complaint on that. The product was delivered safely with no damage or any such other issues. It'...READ MORE",5,"Dec, 2016"
27,Lalasaheb Patil,Simply awesome,First of all I would like to thank Flipkart for super fast delivery. I got my phone delivered today around 7 pm which was on time. Along with phone I got some surprise gifts from Flipkart. Thanks for making this as a special event and a memorable oneREAD MORE,5,"Oct, 2016"
28,Jaya Pahlajani,Horrible,"Mediocre product and service. The phone worked well for first 10 days but started heating while using and Charing after that. The battery takes 3 hrs to fully charge and same time to discharge. I am worried if it will explode in my hand. No help from flipkart or seller as it is past 10 days. So much so for a 60k product. Took a Long trip to service center to find there is a software problem, the phone was restored but problem persists. They say that heating is normal and we can only do some...READ MORE",1,"Nov, 2016"
29,Flipkart Customer,TOOOO GOOOOOOD !!!!!!,"iphone 7 is superb as expected. I got upgraded myself from earlier version of iphone so i could feel the difference. But more importantly the Flipkart delivery has been excellent and highly impressive. They initially said to deliver by 8th, but preponed it to 7th evening and within 20 minutes of iphone's office launch in India, flipkart had it delivered to my home (by 7:20 pm on the 7th). Much faster than my friend got it at reliance outlet. Flipkart, hats off to you and your passionate tea...READ MORE",5,"Oct, 2016"
30,Arun Kumar,Awesome but don’t buy Matt black,"Pros:Sleek and handy, no more chunks of heavy metalPremium and stylish, Matt black looks royal. Camera is stunning, you can't believe, it nurtured a hidden photographer in me to such an extent that I bought a dslr now, most of my pics are clicked on it. Camera is comparable to point and shoot standalones.Battery life is more than sufficient.iOS is more secure and reliable.Sound is louder and crisper then 6 th generation Aluminium 7000 series is more sturdyCons:No 3.5 mm, but ...READ MORE",5,"Sep, 2017"
31,Flipkart Customer,Terrific,genuine smart phone great mat black look easy to hold everything is perfect in iphone 7 even this time peice also but batery time very lessREAD MORE,5,"Oct, 2018"
32,Kiran Chaluvaiah,Worthy upgrade from iPhone 6,"Firstly flipkart did a fair job on delivering the phone despite the huge number of orders.Overall iPhone 7 is a nice upgrade from iPhone 6 as I got 3D touch, Live photos, better camera, Better processor, Stereo speakers and it's water proof.But I don't think it has much to offer if you are already using iPhone 6S.READ MORE",4,"Oct, 2016"
33,kaustubh chitnis,Best in the market!,Flipkart has never let me down as far as the delivery date is concerned. Kudos to flipkart for delivering this beautiful product in the promised time !!:thumbs_up::thumbs_up::thumbs_up:And 20k discount on iPhone 7 256 GB....This was an awesome deal !! Thanks again flipkart !!:thumbs_up::thumbs_up::thumbs_up:READ MORE,5,"Apr, 2017"
34,Katkuri Bhikshapathi,Iphone 7 Can handle my speed,"Iphone 7 Can handle my speedi use phone faster and faster i checked nearly 5-6 phones till date among best brands, apple iphone 7 only the phone satisfied my phone usage speed. its saved my lot of time.READ MORE",5,"May, 2017"
35,Bhanu Pratap,Highly recommended,"It’s iphone so be carefree for any performance whichever the model is , by the way it’s already too fast. Camera is one of the main reason people buy iPhones so undoubtedly excellent camera quality but there is only one lag that it don’t click portrait pics.Value for money for the offer I got .:smiling_face_with_sunglasses:Build quality excellent.And hopefully it’s fast delivery from Flipkart within 3 days in soo much of rush.”Appreciable”Finally, if are iphone lover than just buy it .READ MORE",5,"Oct, 2019"
36,Ajay Singh,Wonderful,One of best phone in market right now.It totally justify your investment.I am very happy that I got genuine product because some of review is not good. Thanks to flipkart and seller(SupercomNet) they delivered on time.READ MORE,5,"May, 2017"
37,Flipkart Customer,Great product,It's another solid performer from the apple stable. The unpacking was made special by flipkart for the preordered ones. I don't want to elaborate as to not ruin the surprise for others. The phone performs effortlessly. Have not had any issues so far. Migrating from an earlier iPhone is quick and simple. Battery life is better than the earlier phones and the new home button beautifully engineered providing an enhanced user experience. I would definitely recommend this phoneREAD MORE,5,"Oct, 2016"
38,Asgar Khan,Wonderful,every think is good but battery back one day work .I mean normal work 8hours workin and other game play pubg/ free fire only 6 mach playREAD MORE,4,"Dec, 2019"
39,Mukul Sharma,Excellent,Nice camera that’s great shoot by iPhone 7 battery back up is ok not very good like mi but thnx and that’s is first iPhone 7 and thnx FlipkartREAD MORE,5,"Dec, 2019"
40,Shailendra  Gupta,Wonderful,"Deliverd in 2 days very fast, very good camera and performance, and fells like very premium, and touch id  is super fastREAD MORE",5,"Feb, 2020"
41,Shankul Mhalsekar,Great product,"my first IPhone experience was awesome, thank you flipkart to make it come true, master piece I would say , great performance and loved the designed.READ MORE",5,"Oct, 2019"
42,Flipkart Customer,Amazing service from Apple & Flipkart,On Time Delivery Best Part Of Flipkart. Amazing Deal as always with Flipkart. Coming to iPhone 7. Really nice feel. Apple has the best product they know what people want. All the features in one hand. Really a fan of apple. Flipkart delivered what they promised.READ MORE,5,"Oct, 2016"
43,Alok Rajput,Excellent,iPhone 7 is very good built quality with great camera and and its got the update of IOS 13 which made it too much awsm loved it so muchh.  but this time i am disappointed by delivery by flipkart my item was shipped by xpressbee they not give the delivery boy no. which is very difficult to contact with him. very bad experience by delivery this time but the phone is superb to use. i recommend to buy it.!:face_blowing_a_kiss::face_blowing_a_kiss:READ MORE,5,"Dec, 2019"
44,umesh singh,Super!,Its been 2 months using iphone 7.. the phone is  superb.. its really feel gr8 to have an iphone 7. Camera quality is awsome. Fast processor. The delivery was very good with perfect packing.READ MORE,5,"Feb, 2017"
45,Madhavray Gachchhar,Simply awesome,"Great product...Awsome....Apple killed it all other players like always they do....You can feel the difference just by holding it in you plam...After using it for almost 9 months, it feels like new till today...very satisfied with iphone...READ MORE",5,"Oct, 2019"
46,Sameer Sharma,Terrific purchase,Got I phone 7 128 GB from Flipkart. My personal experience is really good with Flipkart. For genuine products only trust on Flipkart.... no snap deal no amazon....READ MORE,5,"Jan, 2017"
47,bala phanindrakumar,Really Nice,super build quality and camera was so good when compared to android budget mobiles but battry was not able to  comee a  one day  use it is ok but u can mange by using battry savver and some tips  for coming from android  to ios this is the best mobie to this budgetREAD MORE,4,"Mar, 2020"
48,Ritesh Gupta,Classy product,well I got in 25k everything is good but not freely acces like Android & Im not addicted to phone so I'm loving itREAD MORE,5,"Nov, 2019"
49,Priyanka  Parkar,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE",5,"Oct, 2016"
50,Saket,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE",5,"Oct, 2016"
51,Flipkart Customer,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE",5,"Mar, 2017"
52,Akshat Gupta,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,5,"Dec, 2016"
53,D.S. Meena,Good quality product,"The iPhone 7 is a very good choice for those people who want to use iPhone in budget. iPhone 7 is a very good product from apple. It have 4.7 inch display which is bigger than expected. The 3D Touch is very different from android and better than android. It have a quite bigger bezel both in top and bottom but the display is perfect. After all having very slim body, the speakers are loud and battery is 1960 mah which last a day through heavy usage. Talking about the performance, iPhone 7 ...READ MORE",4,"Dec, 2019"
54,Suraj  Singh,Nice product,"Delivered on time. Camera is amazing. Works smooth and fast. Won’t recommend if your need is good battery. Otherwise, this is still an amazing phone.READ MORE",4,"Jan, 2020"
55,Rojalin Mishra,Worth the money,Its been 3 yrs i hv got this phone. it works fine till nowit didnt cost me yet a extra penny for its service. so overall goodREAD MORE,4,"Jun, 2021"
56,parag pawar,Could be way better,"First day, phone was working well & good , but next morning  when I put the screen on it wasn't just working it's was not responding to the touch at all , it was the most disappointing movement for me as I was not expecting this thing from the Apple, later on the same day when i visited the apple store, after reaching there i was waiting in the queue and just thought to see what's the time , the display started to work well and fine & apple representative where also not able to find the probl...READ MORE",2,"Oct, 2019"
57,Sanjeet Desai,Perfect iPhone,"Perfect and decent phone for iPhone lovers.Battery life good for regular user- calls and social networking not for gaming, it last for 12-15 hours for regular use.iOS 13 gives features of almost latest iPhones.Overall good to use in 2019-20.On time delivery and good seller.READ MORE",5,"Dec, 2019"
58,Subhra Bhattacharya,Wonderful,It's great iphone is iphone I love it camera is awesome best looking and handy display good overall good product thanks to flipkart.READ MORE,5,8 months ago
59,Lalhmingliana Fanai,Very poor,The product is delivereed earlier than the expected date. The product is good and genuine. Verified in Apple Website.But the warranty is not showing active in the website. I am still awaiting reply from Flipkart. The IMEI also shows the warranry expired. The advertisement shows the brand warranty (Apple) of 1 year.I am now adding the comment after:1. Flipkart guy who pick up do not know how to check IMEI2. He took the original invoice promising to return the next day3. He did not turn up...READ MORE,1,"Nov, 2018"
60,Flipkart Customer,Terrific purchase,"The product is as usual best ,and thanks for the best service by flip kart,its always the best keep it up I give thme 10 out of 10 for their genuine products provided everREAD MORE",5,"Nov, 2016"
61,Abhishek Shrivastwa,Must buy!,it was awesome and fabulous  no words to say about i phone i loved my i phone a lot and thankyou filpkart to make a discount on all popular  products.READ MORE,5,"Dec, 2019"
62,Rahul Sharma,Super!,"My first ever iphone.At first was quite hesitant while switching over from android (samsung s7 edge) to iphone 7. Well, I must say it was a good decision. At first it will take some time to get the hang of it and getting used to. But later on you will simply get flattened by the awesomeness of an iPhone. Now, I get to understand as to why the iphone have such a loyal fan base, because they have added another one to its fleet. Worth giving a try.READ MORE",5,"Dec, 2019"
63,Anshul Tiwari,Best in the market!,"I am just loving it. Its my first IOS and its experince is good.however the launch of this phone is in 2016 but still I am like amazed by using this. Its look is flawless,smooth,light weight and slim. If anyoe asks me to go for this cell in 2019 I will say just go for it rather than thinking anythg else.Thumbs up.READ MORE",5,"Oct, 2019"
64,Marriyam Khan,Did not meet expectations,"It's a very bad experience for the first time on Flipkart..I purchased Apple iPhone7 on Flipkart @ 34,999/- last month, 18/10/2018 n experiencing very low battery back up which doesn't lasts for not more than 4 hours and the speaker quality is very bad, sometimes I won't be able to hear clearly what the other person is talking.. I feel like I have been conned.. I want my money back or if not handset to be replaced... Please do needful in this regardREAD MORE",1,"Nov, 2018"
65,Santosh Subba,Awesome phone - Awesome Flipkart,"This is my first iPhone and I was waiting eagerly for its delivery. Though the phone was delivered a day later than the assured day, it was okay. I recieved the awesome iPhone 7 in good condition. The phone is superb, fast, charges very fast and battery life is really great. My friends have iPhone 5s and 6, but I must say iPhone 7's batter is quite good. Go for it guys, I'm loving it.READ MORE",5,"May, 2017"
66,Sujoy Mukherjee,iPhone - A Different Ball Game,"It was a difficult decision to choose between Android Flagship and iOS. For long, I've been using Sony Xperia. Used my Xperia Z2 for almost four years (August 2014 to October 2017). It was time to buy a new phone and I was sceptical about buying another Xperia or any other Android Flagship. Finally I've decided to buy an iPhone 7 during the Flipkart Big Billion Day Sale. I've received the product for INR 38,999 with instant discount through HDFC Credit Card. I must say, I'd blown away by th...READ MORE",5,"Nov, 2017"
67,Yashwant,Its mid range phone in flagship category,iPhone 7 is a very good phone.Pros:Slim and sleek design Very light in weight Great spec Great camera No heating issue Very handy phone User friendly interface Cons:It slippery while holding in handNo headphone jack So while charging u cannot listen to music Sound is not that greatREAD MORE,5,"Oct, 2017"
68,Amjad  Khan,"5 Star service, Awesome experience",Flipkart always gives his best when it comes to quality and delivery. Thanks for making purchases so easy and effortable. 5Star to all your services and offers you being to us. 5star to Flawless service and trust full offersREAD MORE,5,"May, 2017"
69,Samrat Roy,Delightful,Iphone 7 is better than iphone 8 and iphone se 2020 if we compare by price to performance ratio. Phone is good but not best in the current smartphone competition era.READ MORE,4,"May, 2020"
70,tako nama,Worth every penny,"I had been using andriod phones  for the past like 12 years(samsung and HTC) and then shifted to iphone, damn iphones are smooth like heaven. the fuildity is amazing. For now loving it, Cant say how it will behave after an year or so.READ MORE",5,"Jan, 2019"
